txn_date,txn_type,narration,utr,amount,balance_after,branch_code
2025-08-04 14:14:01,debit,ATM WDL: HDFC ATM 0810,0082283774270549,8148.85,491851.15,SBIN0009012
2025-08-05 17:36:15,credit,IMPS CR: CLIENT INVOICE #4521,7065076122283056,29933.86,521785.01,SBIN0009012
2025-08-06 11:09:03,credit,NEFT CR: INTEREST CREDIT Q2,0617906701512003,18851.33,540636.34,ICICI0005678
2025-08-07 00:00:00,credit,Razorpay Settlement - NEFT Credit - Ref No.1003076205459671,1003076205459671,88022.54,628658.88,KKBK0004567
2025-08-07 00:00:00,credit,NEFT CR: Razorpay Solutions Pvt Ltd REF:4078516994970890,4078516994970890,27284.72,655943.60,HDFC0001234
2025-08-07 00:00:00,credit,Razorpay Settlement - NEFT Credit - Ref No.9178791505962571,9178791505962571,155832.46,811776.06,ICICI0005678
2025-08-08 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 8241996264222975,8241996264222975,53837.56,865613.62,HDFC0001234
2025-08-08 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 8209225709001635,8209225709001635,33469.17,899082.79,ICICI0005678
2025-08-08 00:00:00,credit,NEFT/CR/RAZORPAY/8224731261685071,8224731261685071,65044.04,964126.83,KKBK0004567
2025-08-08 00:00:00,credit,NEFT CR: Razorpay Solutions Pvt Ltd REF:0537092300716950,0537092300716950,28494.04,992620.87,HDFC0001234
2025-08-08 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 3652944716198273,3652944716198273,145536.88,1138157.75,SBIN0009012
2025-08-08 13:39:02,debit,IMPS CR: CLIENT INVOICE #4521,1621833391929692,30036.80,1108120.95,HDFC0001234
2025-08-08 15:35:44,debit,UPI DR: SWIGGY ORDER,5555950263560777,33625.59,1074495.36,SBIN0009012
2025-08-11 00:00:00,credit,NEFT/CR/RAZORPAY/3646280550774065,3646280550774065,76454.83,1150950.19,KKBK0004567
2025-08-11 00:00:00,credit,NEFT CR: Razorpay Solutions Pvt Ltd REF:9131117861902547,9131117861902547,19793.64,1170743.83,ICICI0005678
2025-08-11 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 7595002601515325,7595002601515325,31733.97,1202477.80,HDFC0001234
2025-08-11 00:00:00,credit,NEFT/CR/RAZORPAY/9503100649340391,9503100649340391,62386.14,1264863.94,SBIN0009012
2025-08-11 00:00:00,credit,NEFT CR: Razorpay Solutions Pvt Ltd REF:4233944953006776,4233944953006776,51616.94,1316480.88,ICICI0005678
2025-08-11 00:00:00,credit,NEFT/CR/RAZORPAY/2923345110090605,2923345110090605,1367.44,1317848.32,ICICI0005678
2025-08-11 17:34:56,debit,IMPS CR: FREELANCE PAYMENT,2063228012698044,8492.45,1309355.87,KKBK0004567
2025-08-12 00:00:00,credit,NEFT/CR/RAZORPAY/7115238023621921,7115238023621921,13497.26,1322853.13,HDFC0001234
2025-08-12 00:00:00,credit,Razorpay Settlement - NEFT Credit - Ref No.5977216880053789,5977216880053789,168754.33,1491607.46,KKBK0004567
2025-08-12 00:00:00,credit,NEFT CR: Razorpay Solutions Pvt Ltd REF:7200283948232204,7200283948232204,13284.54,1504892.00,ICICI0005678
