order_id,order_date,customer_id,product_sku,quantity,gross_amount,currency,payment_method,payment_status,refund_status,refund_amount,created_at,notes
ord_nBRNtp3FaBNfBMoh,2025-08-07,cust_AxrVJ7UFF0,SKU-2005,3,12297.32,INR,visa_mc_domestic,failed,none,0.00,2025-08-07 13:17:51.890,Deliberate failed payment for testing
ord_H5ESm2WLEov911Xc,2025-08-17,cust_prqEnhPcQ5,SKU-3002,5,459.43,INR,upi,failed,none,0.00,2025-08-17 12:23:22.214,Deliberate failed payment for testing
ord_wOBTQN62ToY4cQPi,2025-08-08,cust_YN9fFCGmxa,SKU-1002,4,4984.49,INR,visa_mc_domestic,failed,none,0.00,2025-08-08 17:27:57.597,Deliberate failed payment for testing
ord_Pi6qH2uvVSJAss8v,2025-08-12,cust_0fMXK754le,SKU-1002,3,44108.29,INR,upi,failed,none,0.00,2025-08-12 20:55:40.305,Deliberate failed payment for testing
ord_OOjEty8hHo6Kgl75,2025-08-16,cust_YpX3bPDBik,SKU-1001,1,5588.74,INR,upi,failed,none,0.00,2025-08-16 17:12:45.319,Deliberate failed payment for testing
ord_41EOpNI6jdwyLGaa,2025-08-11,cust_9GYV1PLbaR,SKU-1004,1,4445.40,INR,amex_diners,authorized,none,0.00,2025-08-11 19:03:43.669,"Captured after cutoff, settles next cycle"
ord_GohAFuOZd13KAY5w,2025-08-08,cust_peLNDtDTDd,SKU-3005,5,968.62,INR,upi,authorized,none,0.00,2025-08-08 13:46:50.569,"Captured after cutoff, settles next cycle"
ord_0EE1Z6jjCFojTQpT,2025-08-08,cust_c56AmiGhfI,SKU-2001,1,424.24,USD,international_card,captured,none,0.00,2025-08-08 12:42:41.307,"International order. USD 424.24, settles as INR 35211.92"
ord_bhS8ygpi5G2Q3uJR,2025-08-07,cust_0fP4DnzCUI,SKU-1005,2,341.91,USD,international_card,captured,none,0.00,2025-08-07 16:13:43.649,"International order. USD 341.91, settles as INR 28378.53"
ord_iG6qJCWiaCW58CWq,2025-08-14,cust_28u5OKxKZL,SKU-3005,3,9117.13,INR,upi,captured,none,0.00,2025-08-14 23:48:28.166,Near cutoff - batch boundary ambiguous
ord_1yQwG21NycSxOBLU,2025-08-17,cust_nY8h6H8L7Q,SKU-1002,5,3914.18,INR,upi,captured,none,0.00,2025-08-17 23:46:15.243,Near cutoff - batch boundary ambiguous
ord_b9H3LCbgyq6tMa65,2025-08-13,cust_3fpUriLpXu,SKU-1003,5,2624.30,INR,upi,captured,none,0.00,2025-08-13 23:48:50.105,Near cutoff - batch boundary ambiguous
ord_SNwlTbpfx7toRpmF,2025-08-16,cust_MBPd0EZnMr,SKU-2003,4,724.85,INR,upi,captured,none,0.00,2025-08-16 23:34:07.661,Near cutoff - batch boundary ambiguous
ord_312wNxrci4HIcgiT,2025-08-16,cust_3a4bJ1bu0R,SKU-3003,5,1956.98,INR,visa_mc_domestic,captured,none,0.00,2025-08-16 23:51:35.511,Near cutoff - batch boundary ambiguous
ord_ERQThIOrrDZhZMa4,2025-08-13,cust_vXAVu07Zuh,SKU-2005,2,2091.74,INR,visa_mc_domestic,captured,none,0.00,2025-08-13 23:30:25.942,Near cutoff - batch boundary ambiguous
ord_BUqZKcHmBYiBnIcD,2025-08-10,cust_vXuzPFBh9V,SKU-3001,1,11517.55,INR,upi,captured,none,0.00,2025-08-10 23:56:10.966,Near cutoff - batch boundary ambiguous
ord_BP0mOdH6cPWl7swK,2025-08-08,cust_j4X6MkzPrS,SKU-3001,5,12962.27,INR,amex_diners,captured,none,0.00,2025-08-08 23:58:36.215,Near cutoff - batch boundary ambiguous
ord_wVaWfV0yG7nzrbt7,2025-08-08,cust_dbtQ0zF2Pc,SKU-2005,4,2977.23,INR,upi,captured,none,0.00,2025-08-08 23:35:33.887,Near cutoff - batch boundary ambiguous
ord_LNxV2rRA6Fsevqoe,2025-08-16,cust_qSkdgauUrQ,SKU-1005,2,354.07,INR,upi,captured,none,0.00,2025-08-16 23:46:59.050,Near cutoff - batch boundary ambiguous
ord_u6qLtRkvl8zSWSrH,2025-08-04,cust_6nuGARdV7P,SKU-3004,4,252.27,INR,visa_mc_domestic,captured,none,0.00,2025-08-04 22:35:18.714,Missing from settlement report - possibly on hold
ord_EnDJiS9HvlxNgbb1,2025-08-10,cust_7GvmQFOiJZ,SKU-3002,5,1130.56,INR,upi,captured,none,0.00,2025-08-10 11:39:03.624,
ord_rrcq5wmo5aho4zEK,2025-08-08,cust_RHqr6feECa,SKU-2001,5,273.06,INR,upi,captured,partial,103.36,2025-08-08 15:52:36.943,Partial refund - split across settlement batches
ord_zj69pQCudo4LkneF,2025-08-09,cust_1UrR6yicTU,SKU-3003,4,43872.45,INR,upi,captured,partial,9039.72,2025-08-09 12:20:42.107,Partial refund - split across settlement batches
ord_ohZLWumvMi5brH8l,2025-08-07,cust_iF94cHzesf,SKU-1005,4,14802.45,INR,upi,captured,partial,2558.65,2025-08-07 16:19:35.014,Partial refund - split across settlement batches
ord_cILluIEv0VwQAtzj,2025-08-14,cust_eUvX518OX1,SKU-2002,1,2891.91,INR,visa_mc_domestic,captured,partial,353.94,2025-08-14 13:09:28.551,Partial refund
ord_Xpy8eCfk12bgcsZo,2025-08-06,cust_mYEUph7m3e,SKU-2004,1,1939.08,INR,upi,captured,partial,307.32,2025-08-06 06:50:16.346,Partial refund
ord_59uaGn2br4CxSXJg,2025-08-13,cust_E1mO4IcPPA,SKU-3003,4,38716.38,INR,upi,captured,partial,7455.12,2025-08-13 16:11:10.179,Partial refund
ord_E69S7qcS90GXWSrB,2025-08-17,cust_1w84uz3wOx,SKU-1004,2,3711.06,INR,upi,captured,partial,697.18,2025-08-17 16:17:00.579,Partial refund
ord_vqIGmCwCWI4UZMw2,2025-08-09,cust_K467S1xdEu,SKU-1004,4,170688.15,INR,visa_mc_domestic,captured,partial,17249.11,2025-08-09 14:58:17.850,Partial refund
ord_FYQHWuQXnXpdm6Ul,2025-08-14,cust_roHCC9HOhY,SKU-2001,5,3969.08,INR,upi,captured,partial,522.00,2025-08-14 06:52:29.931,Partial refund
ord_2ozm6RqNbOW8W3nD,2025-08-08,cust_cpnlBwPHjE,SKU-3003,5,372.76,INR,upi,captured,partial,134.57,2025-08-08 10:07:54.843,Partial refund
ord_UJ3A1IIPKoBAwOUK,2025-08-04,cust_udwfGf6Cw1,SKU-2004,3,4856.10,INR,upi,captured,partial,1605.69,2025-08-04 08:26:33.116,Partial refund
ord_90aGsb3TJHmksXlS,2025-08-12,cust_Ho2i1a3ZzY,SKU-3002,1,2250.09,INR,upi,captured,partial,651.85,2025-08-12 15:06:50.718,Partial refund
ord_XJ5EzFFtyikiUHVp,2025-08-16,cust_8lVjNoNG0W,SKU-3003,3,4228.89,INR,amex_diners,captured,partial,518.69,2025-08-16 13:58:46.052,Partial refund
ord_8ymnB5zQLrTVA1jY,2025-08-06,cust_gXcJTU6k2J,SKU-3003,5,265.27,INR,visa_mc_domestic,captured,partial,30.48,2025-08-06 17:01:05.764,Partial refund
ord_pebQuHaRqepCYlAS,2025-08-07,cust_UAuKXrfzxE,SKU-3004,1,2839.02,INR,upi,captured,partial,1478.10,2025-08-07 17:48:16.296,Partial refund
ord_1jjrZHBUxmz5F0Pk,2025-08-12,cust_VUKfHf4Vty,SKU-3004,2,317.16,INR,upi,captured,full,317.16,2025-08-12 06:55:19.763,Full refund
ord_KJvE6mcijq2n9U8T,2025-08-11,cust_xkVEcCWRn8,SKU-1002,5,2537.93,INR,amex_diners,captured,full,2537.93,2025-08-11 06:28:40.310,Full refund
ord_ix3byoTdJDG3VsfK,2025-08-07,cust_lW4YwqDnUU,SKU-2004,4,778.99,INR,international_card,captured,full,778.99,2025-08-07 16:28:33.535,Full refund
ord_7lJFp4TopHrFinUH,2025-08-15,cust_goaWWLN6eO,SKU-1003,2,875.54,INR,upi,captured,full,875.54,2025-08-15 18:47:43.934,Full refund
ord_fhtgp2mlJLqm3sCW,2025-08-15,cust_uwOO7w4Mqj,SKU-2003,4,12781.24,INR,visa_mc_domestic,captured,full,12781.24,2025-08-15 10:28:39.291,Full refund
ord_g7yxIPn2iG00RvQ4,2025-08-06,cust_y25ZYXXFNT,SKU-1002,3,6376.00,INR,upi,captured,full,6376.00,2025-08-06 18:05:58.227,Full refund
ord_4dzvdm4BNJ6lawOH,2025-08-07,cust_DzehnjsSAV,SKU-2005,4,734.57,INR,visa_mc_domestic,captured,full,734.57,2025-08-07 13:50:39.468,Full refund
ord_8Egf9iYdn8PBwVtm,2025-08-16,cust_ChyKwcrnyD,SKU-3003,4,361.27,INR,upi,captured,full,361.27,2025-08-16 15:48:21.136,Full refund
ord_2TTYydCoR1CoQxbY,2025-08-11,cust_LqWxQFaa9L,SKU-1005,3,462.34,INR,upi,captured,none,0.00,2025-08-11 20:24:21.997,
ord_TlaqVC1V9R86EnWx,2025-08-14,cust_lwCEwWXjlq,SKU-2001,3,1307.54,INR,upi,captured,none,0.00,2025-08-14 09:01:09.869,
ord_gYoPHteXiQQb9R4e,2025-08-05,cust_3bFq0TVEh3,SKU-3004,2,14273.24,INR,international_card,captured,none,0.00,2025-08-05 08:04:28.176,
ord_KWN9xOeWjc8I2EYs,2025-08-11,cust_jHTEcgHzik,SKU-3003,2,4642.85,INR,upi,captured,none,0.00,2025-08-11 14:49:26.843,
ord_zgSK5N6gREM7RmmF,2025-08-14,cust_osl0izBCnj,SKU-3001,2,9165.87,INR,international_card,captured,none,0.00,2025-08-14 09:37:09.175,
ord_B3hnSPyZcqJZcVI1,2025-08-09,cust_YvfGOHbID6,SKU-3004,5,4850.74,INR,upi,captured,none,0.00,2025-08-09 17:55:22.998,
ord_y5sLJ9c2eFYcOkDR,2025-08-13,cust_RAGIQWZCDi,SKU-2001,5,509.08,INR,visa_mc_domestic,captured,none,0.00,2025-08-13 19:41:43.481,
ord_vR9qH8YxV6uMffCI,2025-08-09,cust_lfUmK9tSUz,SKU-2004,4,7997.91,INR,upi,captured,none,0.00,2025-08-09 18:33:29.152,
ord_Wp8kxsqBd7wwjskK,2025-08-14,cust_JqB6GBTJqZ,SKU-3003,5,45548.62,INR,upi,captured,none,0.00,2025-08-14 16:49:53.389,
ord_trgi9dX7chhp1qxQ,2025-08-11,cust_S68vrqedi5,SKU-3002,3,658.78,INR,visa_mc_domestic,captured,none,0.00,2025-08-11 10:15:17.571,
ord_X8y7xSRsVbPdMh5r,2025-08-06,cust_PpgnDZsGvA,SKU-2004,2,4740.13,INR,visa_mc_domestic,captured,none,0.00,2025-08-06 07:47:37.245,
ord_dM7To4Fjhs64K2K5,2025-08-17,cust_u2RCSl5Ucn,SKU-2004,4,19697.00,INR,visa_mc_domestic,captured,none,0.00,2025-08-17 12:31:11.959,
ord_dLGKcPLtxjuK13zf,2025-08-05,cust_d6AXbQUkjQ,SKU-2001,2,294.58,INR,upi,captured,none,0.00,2025-08-05 12:06:11.143,
ord_Jq53vqn6WN7dc9Xr,2025-08-11,cust_NPu2FbrEiD,SKU-2004,5,629.33,INR,upi,captured,none,0.00,2025-08-11 17:51:42.845,
