settlement_id,settlement_date,bank_utr,payment_id,order_id,gross_amount,fee,gst_on_fee,refund_deduction,net_amount,payment_method,captured_date,settlement_status
set_RTP6kuwRwviITZ8T,2025-08-06,1003076205459671,pay_KPwBYqxnFHplvhEJ,ord_ZKgJypW5wBMZX0mB,580.55,11.61,2.09,0.00,566.85,card,2025-08-04,settled
set_RTP6kuwRwviITZ8T,2025-08-06,1003076205459671,pay_P1aTUkR2fLEgkaBZ,ord_t0qKqKUc7paB82Kv,3944.75,78.89,14.20,0.00,3851.66,card,2025-08-04,settled
set_RTP6kuwRwviITZ8T,2025-08-06,1003076205459671,pay_QvVGGCFyXMuFtPBr,ord_5s0IgzAZJE8TLrhU,34638.93,1039.17,187.05,0.00,33412.71,intl_card,2025-08-04,settled
set_RTP6kuwRwviITZ8T,2025-08-06,1003076205459671,pay_Dl6azOIsnfDDK9Mk,ord_LnvuE9Oo4evYnMCc,3214.34,64.29,11.57,0.00,3138.48,amex,2025-08-04,settled
set_RTP6kuwRwviITZ8T,2025-08-06,1003076205459671,pay_ikl7EyCAS6yOueGz,ord_tILskeDhThzb9CDw,761.04,15.22,2.74,0.00,743.08,upi,2025-08-04,settled
set_RTP6kuwRwviITZ8T,2025-08-06,1003076205459671,pay_viCu2u2J9Vs89sQk,ord_MnSxwV8emk9WPf84,47429.08,948.58,170.74,0.00,46309.76,upi,2025-08-04,settled
set_U3Ca3YQE4YX1rr36,2025-08-06,4078516994970890,pay_R8cg15mE7VUKHdKg,ord_3hQ9obIuA2rGRIaU,966.14,19.32,3.48,0.00,943.34,upi,2025-08-04,settled
set_U3Ca3YQE4YX1rr36,2025-08-06,4078516994970890,pay_1budwlDOGZaifwdz,ord_NtjNS5nzCcmeWmUV,2197.14,43.94,7.91,0.00,2145.29,card,2025-08-04,settled
set_U3Ca3YQE4YX1rr36,2025-08-06,4078516994970890,pay_IMkvnXdwhezC2iG3,ord_mZ1wmccamGopBgkG,3052.50,91.58,16.48,0.00,2944.44,intl_card,2025-08-04,settled
set_U3Ca3YQE4YX1rr36,2025-08-06,4078516994970890,pay_LRAsiwc8BKP1MvNY,ord_8m19fcmMDGJ04eJ5,10927.07,218.54,39.34,0.00,10669.19,upi,2025-08-04,settled
set_U3Ca3YQE4YX1rr36,2025-08-06,4078516994970890,pay_L8HkwXpXVcYdYbqE,ord_yGpUfvVmWbe0w0hR,8018.47,160.37,28.87,0.00,7829.23,upi,2025-08-04,settled
set_U3Ca3YQE4YX1rr36,2025-08-06,4078516994970890,pay_mHj85r66FDHZSJEd,ord_3OyMsEGyLHcvsJ5P,2819.78,56.40,10.15,0.00,2753.23,upi,2025-08-04,settled
set_WiMaMiXsjZYcAOai,2025-08-06,9178791505962571,pay_AMC6ygPwRNuGhNIh,ord_pqvIWyuklORkFGnl,534.57,10.69,1.92,0.00,521.96,upi,2025-08-04,settled
set_WiMaMiXsjZYcAOai,2025-08-06,9178791505962571,pay_SEBSGayEA1CG4Xsv,ord_UJ3A1IIPKoBAwOUK,4856.10,97.12,17.48,0.00,4741.50,upi,2025-08-04,settled
set_WiMaMiXsjZYcAOai,2025-08-06,9178791505962571,pay_s9rZxO1mUTFABHv4,ord_mpiNoYfxrqCXZwq7,341.94,6.84,1.23,0.00,333.87,upi,2025-08-04,settled
set_WiMaMiXsjZYcAOai,2025-08-06,9178791505962571,pay_avJfyw1HdiTv1Iv4,ord_6Pq5YhRjGHz26ieH,6889.69,137.79,24.80,0.00,6727.10,upi,2025-08-04,settled
set_WiMaMiXsjZYcAOai,2025-08-06,9178791505962571,pay_4UGOXifVQX6CplJt,ord_RlKJUXFFxAheF8yo,142154.50,2843.09,511.76,0.00,138799.65,upi,2025-08-04,settled
set_WiMaMiXsjZYcAOai,2025-08-06,9178791505962571,pay_BSSv0WRvdCEGcDfH,ord_7Q0rnG6xCVcm6Hkd,4822.18,96.44,17.36,0.00,4708.38,upi,2025-08-04,settled
set_WIEcUT7ccrpISlwF,2025-08-07,8241996264222975,pay_XQognOpDGT8gw3SE,ord_gYoPHteXiQQb9R4e,14273.24,428.20,77.08,0.00,13767.96,intl_card,2025-08-05,settled
set_WIEcUT7ccrpISlwF,2025-08-07,8241996264222975,pay_S0rpXKKQuqYJbiz9,ord_6NlddNZIkvmfKq5k,5931.90,177.96,32.03,0.00,5721.91,intl_card,2025-08-05,settled
set_WIEcUT7ccrpISlwF,2025-08-07,8241996264222975,pay_baIb3qI61r6Mi5dq,ord_NmNLui0ydTnzKxoM,981.33,19.63,3.53,0.00,958.17,amex,2025-08-05,settled
set_WIEcUT7ccrpISlwF,2025-08-07,8241996264222975,pay_WH3afdD3rxg69kOD,ord_Et9rLXoylaJ9aBlE,6235.03,124.70,22.45,0.00,6087.88,card,2025-08-05,settled
set_WIEcUT7ccrpISlwF,2025-08-07,8241996264222975,pay_UWOAwq6lIMZF4kb6,ord_q6tZKfec8fgrcCJi,25680.74,513.61,92.45,0.00,25074.68,upi,2025-08-05,settled
set_WIEcUT7ccrpISlwF,2025-08-07,8241996264222975,pay_wTqtZDdkcsVJ0k1O,ord_FbBzfkRpByEhYQhJ,2280.79,45.62,8.21,0.00,2226.96,upi,2025-08-05,settled
set_fEDr92sW4GiqXzCa,2025-08-07,8209225709001635,pay_wQ0d1uItLrKndGEc,ord_yy5Sij0phXtxqEuV,668.70,13.37,2.41,0.00,652.92,card,2025-08-05,settled
set_fEDr92sW4GiqXzCa,2025-08-07,8209225709001635,pay_X2aHeaDSmhHQijOX,ord_kKMsabkQTGXMV3yb,8719.64,174.39,31.39,0.00,8513.86,upi,2025-08-04,settled
set_fEDr92sW4GiqXzCa,2025-08-07,8209225709001635,pay_6z7AkyL3u99xA93L,ord_6Wp69fJcHeO6Btze,4237.93,84.76,15.26,0.00,4137.91,card,2025-08-04,settled
set_fEDr92sW4GiqXzCa,2025-08-07,8209225709001635,pay_YeEaBEc2BN9YM2CV,ord_0jYk1urTBZeOc6NS,14380.24,287.60,51.77,0.00,14040.87,upi,2025-08-05,settled
set_fEDr92sW4GiqXzCa,2025-08-07,8209225709001635,pay_ACkMZcPRj01biwaO,ord_Ww9bXJbT6cMlRkUB,5393.81,107.88,19.42,0.00,5266.51,card,2025-08-04,settled
set_fEDr92sW4GiqXzCa,2025-08-07,8209225709001635,pay_ih7CY5QJVtyiGltN,ord_Js8YDSyK70iiFGxH,877.82,17.56,3.16,0.00,857.10,upi,2025-08-04,settled
set_Z6cNI0dLKiUswAFg,2025-08-07,8224731261685071,pay_cJvL1JjyNoSvyDzs,ord_yJNlJORUEPCutIh6,48034.68,960.69,172.92,0.00,46901.07,upi,2025-08-04,settled
set_Z6cNI0dLKiUswAFg,2025-08-07,8224731261685071,pay_cozcKnWMemmXcA1a,ord_4BqXwG6SOyo68922,8276.81,165.54,29.80,0.00,8081.47,upi,2025-08-05,settled
set_Z6cNI0dLKiUswAFg,2025-08-07,8224731261685071,pay_yZeWZ2Khp5j0KCLE,ord_nYDzu9vMRS5oy1jG,359.07,7.18,1.29,0.00,350.60,upi,2025-08-05,settled
set_Z6cNI0dLKiUswAFg,2025-08-07,8224731261685071,pay_XzSymRh4kKJ7PK7P,ord_UNj5EV4usow7bOQS,2460.10,49.20,8.86,0.00,2402.04,upi,2025-08-05,settled
set_Z6cNI0dLKiUswAFg,2025-08-07,8224731261685071,pay_EJXoU0Dmt9RxqC1k,ord_uf9JzUstnIvMmRNC,7190.94,143.82,25.89,0.00,7021.23,upi,2025-08-04,settled
set_Z6cNI0dLKiUswAFg,2025-08-07,8224731261685071,pay_yyRwmuP2SP4kIyBi,ord_dLGKcPLtxjuK13zf,294.58,5.89,1.06,0.00,287.63,upi,2025-08-05,settled
set_DVir6Fj8l02GyFLF,2025-08-07,0537092300716950,pay_t9OH7QQKjbUlT2lI,ord_1byuro7u1L1KPF2U,14692.74,293.85,52.89,0.00,14346.00,upi,2025-08-04,settled
set_DVir6Fj8l02GyFLF,2025-08-07,0537092300716950,pay_DI7YEckREALwQFMb,ord_LqfZIXLnqo9ieITb,419.88,8.40,1.51,0.00,409.97,card,2025-08-04,settled
set_DVir6Fj8l02GyFLF,2025-08-07,0537092300716950,pay_mxkLbrGXsHa6dJ0n,ord_XLB1wOsohYgeimUn,493.08,9.86,1.77,0.00,481.45,amex,2025-08-05,settled
set_DVir6Fj8l02GyFLF,2025-08-07,0537092300716950,pay_YX3IBmHyOAko23TI,ord_kS7D0XBXbNXohoBv,10532.94,210.66,37.92,0.00,10284.36,upi,2025-08-04,settled
set_DVir6Fj8l02GyFLF,2025-08-07,0537092300716950,pay_eknQlHqPI8fOympr,ord_YcEyoWENSl8Gh90K,3044.10,60.88,10.96,0.00,2972.26,upi,2025-08-05,settled
set_Ad4zo2jTsrOoxgZi,2025-08-07,3652944716198273,pay_hGL5AvdCeXj72uk9,ord_rSINutAtjq9J6a05,147919.55,2958.39,532.51,0.00,144428.65,card,2025-08-05,settled
set_Ad4zo2jTsrOoxgZi,2025-08-07,3652944716198273,pay_aF26KchRaDgnwWgL,ord_31bSWi1P3ThGVZ6e,1135.02,22.70,4.09,0.00,1108.23,upi,2025-08-05,settled
set_gZQhCaMh9935fh7T,2025-08-08,3646280550774065,pay_tKwrsdZKtQdowW51,ord_nRHfketwxmKY2uXg,540.02,10.80,1.94,0.00,527.28,card,2025-08-06,settled
set_gZQhCaMh9935fh7T,2025-08-08,3646280550774065,pay_nTXwYiK1AGLtpnK2,ord_Xpy8eCfk12bgcsZo,1939.08,38.78,6.98,0.00,1893.32,upi,2025-08-06,settled
